merchant_category,merchant_subcategory,regex_match_pat,match_priority
cost-of-living,take out,^.*(eggsupgrill|wendy|raising canes|primohoagies|kanji sushi|rubys bagels|mcdonald|cook out|mi tierra|subway|vivachicken|el patron|eats|culvers|firehouse subs|wingstop|china city|domino|five guys|chick.?fil|kairos|cracker barrel|bennymazzetto|zaxby|doordash|dd store|taco bell|smashley|naan at nexton|rise and shine).*$,10
going-out,restaurants,^.*(twisted laurel|rita s |waffle house|silas restaurant|baddaddysburgerbar|bad ?daddy|lowcountry public|home team bbq|cielo mexican|jnn|smoulder|ymap|katsubo).*$,10
going-out,bars,^.*(kickin chick|kerryman|agave cantina|pinky & clydes|leye|pack s tavern|new belgium|steel city|rusty bull|o leary|snickers bar|kingstide|godwin).*$,10
vice,alcohol,^.*(bottles|atlantic spirits|corner liqour|abc stor|harleyville liquor|palmetto wine).*$,10
vice,sweets,^.*(swank desserts|insomnia).*$,10
vice,kratom,^.*(ladson vape).*$,10
vice,cannabis,^.*(blncd naturals).*$,10
entertainment,video games,^.*(microsoft|steam|nintendo|redmond|xbox).*$,10
entertainment,programming,^.*(amazon web service|aws|link\.com).*$,10
entertainment,movie theatre,^.*(northwoods stadium).*$,10
discretional,online shopping,^.*(amazon mktpl|amazon reta|amzn).*$,10
discretional,department store,^.*(target|best buy|wm supercenter|wal.?mart).*$,10
discretional,cosmetics,^.*(ulta|diesel barbershop|sq summerville na summervill).*$,10
discretional,snacks & beverages,^.*(lodi coffee|starbucks|dutch bros|hudsonnews|el cafecito).*$,10
discretional,drinks & snacks,^.*(ctlp).*$,10
discretional,holiday,^.*(tnt fireworks|fireworks).*$,10
discretional,events,^.*(theknot|somethingborrowedb).*$,10
subscription,streaming,^.*(netflix).*$,10
subscription,content creators,^.*(patreon).*$,10
subscription,gym,^.*(bold fitness).*$,10
home-goods,clothing,^.*(kohls|adidas|old navy|h&m).*$,10
home-goods,home hardware,^.*(lowe s|home depot).*$,10
home-goods,amenities,^.*(bath and body works).*$,10
home-goods,coffee,^.*(nespresso).*$,10
cost-of-living,grocery,^.*(212meals|piggly wiggly|harris ?teeter|aldi|costco|publix|ingles).*$,10
cost-of-living,gas,^.*(enmarket|spinx|sunoco|scotchman|shell oil|shell service).*$,10
cost-of-living,healthcare,^.*(cvs).*$,10
cost-of-living,home maintenance,^.*(core pest solu).*$,10
cost-of-living,laundry,^.*(dropps).*$,10
cost-of-living,utility electricity,^.*(dominion energy).*$,10
cost-of-living,utility internet,^.*(comcast|xfinity).*$,10
cost-of-living,utility phone,^.*(tmobile).*$,10
cost-of-living,utility water,^.*(allpaid|town of li).*$,10
pet-care,pet food,^.*(petsmart).*$,10
pet-care,grooming,^.*(furryland).*$,10
pet-care,emergency care,^.*(bluepearl).*$,10
travel,airfare,^.*(american ai|united).*$,10
travel,attractions,^.*(cypress gardens).*$,10
travel,hotel,^.*(hyatt place|loft of ashevil).*$,10
travel,boutique/gift shop,^.*(willows dream).*$,10
travel,rideshare,^.*(uber tech|ubr pending|uber +\*trip).*$,10
debt,car payment,^.*(wells fargo auto).*$,10
debt,credit card interest,^.*(interest charge).*$,10
debt,credit card payment,^.*(transfer to credit card).*$,5
debt,mortgage,^.*(transfer to mortgage).*$,5
fees,HOA,^.*(assn dues|dunmeyer hill).*$,10
fees,atm,^.*(atm withdrawal|atm fee).*$,10
fees,taxes,^.*(federal tax|fed tax).*$,10
fees,parking,^.*(city of asheville).*$,10
fees,international,^.*(international transaction fee|intl transaction).*$,1
payments,peer to peer,^.*(zelle|venmo).*$,10
payments,dividend,^.*(dividend).*$,10
payments,online payment,^.*(nfo payment).*$,10
payments,rewards,^.*(reward redemption|atm rebate).*$,10
payments,refunds,^.*(pos adjustment).*$,1
transfers,other account,^.*(transfer to|transfer from).*$,10
